18.01.01-12.23.07	0.0	21.34	21.64	4.96	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.09	0.0	21.35	21.64	5.25	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.11	0.0	21.35	21.64	5.17	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.13	0.0	21.35	21.64	5.10	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.15	0.0	21.34	21.64	5.06	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.17	0.0	21.35	21.64	5.00	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.19	0.0	21.34	21.64	4.88	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.21	0.0	21.35	21.64	4.82	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.23	0.0	21.35	21.64	4.27	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.25	0.0	21.36	21.64	4.13	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.27	0.0	21.35	21.64	4.06	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.29	0.0	21.35	21.64	3.97	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.31	0.0	21.35	21.64	3.86	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.33	0.0	21.36	21.64	3.79	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.35	0.0	21.35	21.64	3.66	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.37	0.0	21.35	21.64	3.58	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
